"fold","training_replicate","validation_replicate","training_samples","validation_samples","mean_absolute_error_days","median_absolute_error_days","maximum_absolute_error_days","within_2_days_fraction","mean_best_correlation","bootstrap_interval_coverage"
"fold_1",1,2,6,6,0.666666666666667,0.5,2,1,0.943594138116577,1
"fold_2",2,1,6,6,0.333333333333333,0,2,1,0.949569629913966,1
