"donor","gene","detected_pct_P2","mean_UMI_per_cell_P2","detected_pct_P5","mean_UMI_per_cell_P5","delta_detected_pct","log2_mean_UMI_fold_change"
"K82","ABCA12",40.4644808743169,1.01530054644809,39.7322392571799,1.0244007773699,-0.732241617137063,0.0128607890008326
"K82","ANLN",51.0109289617486,2.6672131147541,30.4469876916433,1.17965882098899,-20.5639412701054,-1.17628177720208
"K82","AURKB",31.6939890710383,1.06912568306011,13.474411574174,0.33318937594472,-18.2195774968642,-1.6790424715841
"K82","CCNA2",36.6393442622951,1.38032786885246,15.6769596199525,0.459727920535521,-20.9623846423426,-1.5840688607178
"K82","CENPF",46.9398907103825,4.35491803278688,20.8810192183114,1.2774778665515,-26.0588714920711,-1.76854962212415
"K82","CKAP2L",33.7704918032787,1.03688524590164,14.1870006478082,0.358453897646297,-19.5834911554704,-1.52976828809132
"K82","CLDN1",55.1639344262295,3.91338797814208,57.6549341394947,4.60807600950119,2.4909997132652,0.235690802650033
"K82","COL17A1",75.9289617486339,13.1625683060109,69.5098250917728,14.0814079032606,-6.41913665686104,0.0973434168685833
"K82","COL1A1",32.7595628415301,3.28633879781421,35.7374217231699,2.9844526020298,2.97785888163989,-0.138970486062139
"K82","COL1A2",10.7650273224044,1.14863387978142,18.4625350896135,1.62902180954437,7.6975077672091,0.503716783868333
"K82","DCN",2.40437158469945,0.0344262295081967,4.83696825739581,0.0874541135823796,2.43259667269636,1.32011131298812
"K82","DSG1",51.3661202185792,4.35983606557377,38.9980565752537,3.477218743252,-12.3680636433255,-0.326256091235623
"K82","FLG",28.0874316939891,9.51994535519126,37.8967825523645,13.2986396026776,9.80935085837543,0.482210417646756
"K82","FOXM1",33.0601092896175,0.638524590163934,11.3582379615634,0.177931332325632,-21.7018713280541,-1.83759379569966
"K82","HMGB2",59.8907103825137,3.99699453551913,25.7611746922911,1.07147484344634,-34.1295356902226,-1.8983326927188
"K82","ITGA6",79.5081967213115,13.598087431694,74.0228892247895,13.4996760958756,-5.48530749652201,-0.0104781851781045
"K82","ITGB4",70.7377049180328,7.30491803278689,66.5083135391924,7.56251349600518,-4.22939137884039,0.0499910007630456
"K82","IVL",42.4863387978142,9.02950819672131,70.6758799395379,19.1183329734399,28.1895411417237,1.0821531085655
"K82","KRT1",21.1748633879781,5.77950819672131,27.7045994385662,5.41740444828331,6.52973605058804,-0.0933282484077022
"K82","KRT10",89.2622950819672,19.7901639344262,88.4258259555172,22.2051392787735,-0.836469126450041,0.166102129257327
