"gene","spearman_GSE120107","spearman_GSE122383","direction_concordant"
"POU5F1",-0.894427190999916,-0.9,TRUE
"NANOG",-0.670820393249937,-0.9,TRUE
"TFAP2A",0.3,0.3,TRUE
"KRT18",0.3,0.1,TRUE
"KRT19",0.9,0.8,TRUE
"TP63",0.9,1,TRUE
"KRT14",0.974679434480896,0.9,TRUE
"ITGA6",0.7,0.4,TRUE
"KRT1",0.66688592885535,0.3,TRUE
"IVL",0.7,0.9,TRUE
"SPRR1B",0.974679434480896,0.9,TRUE
"ABCA12",0.9,0.9,TRUE
"DSG1",0.8,0.9,TRUE
"TGM1",0.1,0.6,TRUE
