"model_day","source_stage","anchor_kind","interpretation"
0,"D0","observed_PSC_derived_bulk","PSC baseline"
4,"D4","observed_PSC_derived_bulk","early ectoderm induction"
7,"D7","observed_PSC_derived_bulk","surface ectoderm / epithelial induction"
15,"D15","observed_PSC_derived_bulk","keratinocyte progenitor transition"
30,"D30","observed_PSC_derived_bulk","immature/maturing PSC-derived iKC endpoint"
